id,label,full_name,abn,tier,jurisdiction,legal_class,accountability,portfolio,sector,function,legislation,established,parent_id,description,budget_source,budget_000s,budget_type,financial_year,data_source,lat,lon,lga_code,geographic_scope,data_quality,last_verified,data_gaps,status,ring,cofog_code,cofog_label,cofog_confidence,sources_detail
AU-CW-DEPT-PMC,PM&C,Department of the Prime Minister and Cabinet,18 108 001 191,Federal,CW,ministry,ministerial,Prime Minister and Cabinet,Parliament & Accountability,accountability,Public Service Act 1999 (Cth),1912,,"The Department of the Prime Minister and Cabinet (PM&C) provides high quality advice and support to the Prime Minister, the Cabinet, Portfolio Ministers and Assistant Ministers to achieve a coordinated and innovative approach to the development and implementation of Government policies. PM&C coordinates and develops policy across the Government in economic, domestic and international issues, Aboriginal and Torres Strait Islander affairs and public service stewardship. PM&C does this by: ? providing well-founded advice to the Prime Minister, the Cabinet, Portfolio Ministers and Assistant Ministers on national and global challenges and matters at the forefront of Government ? coordinating policy across Government with a focus on practical changes to improve the lives of all Australians and effective implementation ? fostering a high performing public sector, working with the Australian Public Service Commission ? consulting across Government, the private sector, the not-for-profit sector and the community. PM&C provides clear and persuasive advice to the Government on how it might best tackle the significant issues facing Australia. PM&C?s priorities include: ? supporting the Prime Minister in his role as head of the Australian Government and the Cabinet and supporting PM&C?s Portfolio Ministers ? providing advice on how to make Australia more prosperous, successful and improving its security on a global scale ? enhancing the ability of Aboriginal and Torres Strait Islander people to improve their lives ? working with the Australian Public Service Commission, and all Australian Government agencies, to build a more inclusive and diverse public service. To drive this important work, the Secretary of the Department of Prime Minister and Cabinet chairs the Secretaries? Equality and Diversity Council.",,,,,AGOR,-35.3075,149.1244,,national,HIGH,2026-04,"budget_000s,parent_id",active,0,COFOG-A 01,General Public Services,HIGH,"AGOR December 2025 (Dept of Finance, Australian Government Organisations Register) | Administrative Arrangements Order 13 May 2025 (portfolio assignments) | PGPA Flipchart February 2026 (legal_class and accountability verification)"
AU-CW-DEPT-TREASURY,Treasury,Department of the Treasury,92 802 414 793,Federal,CW,ministry,ministerial,Treasury,Economy & Finance,regulatory,Public Service Act 1999 (Cth),1901,,"The Treasury's mission is to improve the wellbeing of the Australian people by providing sound and timely advice to the Government, based on objective and thorough analysis of options, and by assisting Treasury ministers in the administration of their responsibilities and the implementation of government decisions. The Treasury is expected to anticipate and analyse policy issues with a whole-of-economy perspective, understand government and stakeholder circumstances, and respond rapidly to changing events and directions. Treasury makes informed decisions on the development and implementation of policies to improve the wellbeing of the Australian people, including by achieving strong, sustainable economic growth, through the provision of advice to government and the efficient administration of federal financial relations.",PBS_2526,217065920,operating,2025-26,PBS_2526,-35.3075,149.1244,,national,HIGH,2026-04,parent_id,active,0,COFOG-A 04,Economic Affairs,HIGH,"AGOR December 2025 (Dept of Finance, Australian Government Organisations Register) | Administrative Arrangements Order 13 May 2025 (portfolio assignments) | PGPA Flipchart February 2026 (legal_class and accountability verification) | Portfolio Budget Statements 2025-26 (Commonwealth)"
AU-CW-DEPT-FINANCE,Finance,Department of Finance,61 970 632 495,Federal,CW,ministry,ministerial,Finance,Economy & Finance,regulatory,Public Service Act 1999 (Cth),2013,,"As a central agency of the Australian Government, the Department of Finance (Finance) plays an important role in assisting government across a wide range of policy areas to ensure its outcomes are met, particularly with regard to expenditure, financial management, and the operations of government. Essential services delivered by Finance include supporting the delivery of the Australian Government Budget, the ongoing management of the Australian Government's non-defence domestic property portfolio and key asset sales. Finance is also responsible for the financial framework for Australian Government Agencies. Additionally, Finance provides entitlements advice and support to parliamentarians and their employees, maintains shareholder oversight for Government Business Enterprises (GBEs), provides general insurance services to government agencies and promotes improved risk management. Finance also provides strategic advice, guidance and service provision for the productive application of new and existing information and communication technologies to government operations.",PBS_2526,13225696,operating,2025-26,PBS_2526,-35.3075,149.1244,,national,HIGH,2026-04,parent_id,active,0,COFOG-A 01,General Public Services,HIGH,"AGOR December 2025 (Dept of Finance, Australian Government Organisations Register) | Administrative Arrangements Order 13 May 2025 (portfolio assignments) | PGPA Flipchart February 2026 (legal_class and accountability verification) | Portfolio Budget Statements 2025-26 (Commonwealth)"
AU-CW-DEPT-DEFENCE,Defence,Department of Defence,68 706 814 312,Federal,CW,ministry,ministerial,Defence,Defence,service,Defence Act 1903 (Cth),1903,,"The Department of Defence is constituted under the Defence Act 1903, its mission is to defend Australia and its national interests. In fulfilling this mission, Defence serves the Government of the day and is accountable to the Commonwealth Parliament which represents the Australian people to efficiently and effectively carry out the Government's Defence policy. Defence's mission is to defend Australia and its national interests. To achieve this, Defence prepares for and conducts military operations and other tasks as directed by the Government. The Defence White Paper was released on 25 February 2016 together with an Integrated Investment Program and Defence Industry Policy Statement. Defence White Papers are the Government's most important guidance about Australia's long-term Defence capability. They provide an opportunity for the Government and community to understand the opportunities and challenges for Australia's future Defence and security needs. The White Paper provides a strategy aligned with capability and resources to deliver a future force that is more capable, agile and potent and ready to respond to future challenges.",PBS_2526,66885093,operating,2025-26,PBS_2526,-35.3075,149.1244,,national,HIGH,2026-04,parent_id,active,0,COFOG-A 02,Defence,HIGH,"AGOR December 2025 (Dept of Finance, Australian Government Organisations Register) | Administrative Arrangements Order 13 May 2025 (portfolio assignments) | PGPA Flipchart February 2026 (legal_class and accountability verification) | Portfolio Budget Statements 2025-26 (Commonwealth)"
AU-CW-DEPT-HOMEAFFAIRS,Home Affairs,Department of Home Affairs,33 380 054 835,Federal,CW,ministry,ministerial,Home Affairs,Justice & Safety,service,Public Service Act 1999 (Cth),2013,,"The Department of Home Affairs, led by Secretary Stephanie Foster PSM, remains responsible for immigration and customs border policy, and the following functions: ?National security and law enforcement policy ?Emergency management, including crisis management and disaster recovery ?Countering terrorism policy and coordination ?Cyber security policy and coordination ?Countering foreign interference ?Critical infrastructure protection ?Multicultural affairs ?Countering violent extremism programs ?Transport Security",PBS_2526,6521613,operating,2025-26,PBS_2526,-35.3075,149.1244,,national,HIGH,2026-04,parent_id,active,0,COFOG-A 03,Public Order and Safety,HIGH,"AGOR December 2025 (Dept of Finance, Australian Government Organisations Register) | Administrative Arrangements Order 13 May 2025 (portfolio assignments) | PGPA Flipchart February 2026 (legal_class and accountability verification) | Portfolio Budget Statements 2025-26 (Commonwealth)"
AU-CW-DEPT-HEALTH,Health,"Department of Health, Disability and Ageing",83 605 426 759,Federal,CW,ministry,ministerial,Minister for Health,Health,service,Public Service Act 1999 (Cth),1921,,,PBS_2526,122138108,operating,2025-26,PBS_2526,-35.3075,149.1244,,national,HIGH,2026-04,"description,parent_id",active,0,COFOG-A 07,Health,HIGH,"AGOR December 2025 (Dept of Finance, Australian Government Organisations Register) | Administrative Arrangements Order 13 May 2025 (portfolio assignments) | PGPA Flipchart February 2026 (legal_class and accountability verification) | Portfolio Budget Statements 2025-26 (Commonwealth)"
AU-CW-DEPT-EDUCATION,Education,Department of Education,12 862 898 150,Federal,CW,ministry,ministerial,Education,Education,service,Public Service Act 1999 (Cth),2020,,We contribute to Australia's economic prosperity and social wellbeing by creating opportunities and driving better outcomes through access to quality education and learning.,PBS_2526,51313547,operating,2025-26,PBS_2526,-35.3075,149.1244,,national,HIGH,2026-04,parent_id,active,0,COFOG-A 09,Education,HIGH,"AGOR December 2025 (Dept of Finance, Australian Government Organisations Register) | Administrative Arrangements Order 13 May 2025 (portfolio assignments) | PGPA Flipchart February 2026 (legal_class and accountability verification) | Portfolio Budget Statements 2025-26 (Commonwealth)"
AU-CW-DEPT-EMPLOY,Employment,Department of Employment and Workplace Relations,96 584 957 427,Federal,CW,ministry,ministerial,Employment and Workplace Relations,Economy & Finance,regulatory,Public Service Act 1999 (Cth),2022,,"We enable access to quality skills, training and employment to support Australians find secure work in fair, productive and safe workplaces ? supporting individuals and our nation to prosper.",PBS_2526,2528087,operating,2025-26,PBS_2526,-35.3075,149.1244,,national,HIGH,2026-04,parent_id,active,0,COFOG-A 04,Economic Affairs,HIGH,"AGOR December 2025 (Dept of Finance, Australian Government Organisations Register) | Administrative Arrangements Order 13 May 2025 (portfolio assignments) | PGPA Flipchart February 2026 (legal_class and accountability verification) | Portfolio Budget Statements 2025-26 (Commonwealth)"
AU-CW-DEPT-SOCSVC,Social Services,Department of Social Services,36 342 015 855,Federal,CW,ministry,ministerial,Social Services,Social Services,service,Public Service Act 1999 (Cth),2013,,"The Department of Social Services is responsible for a diverse range of policies, payments, programs and services that improve the lifetime wellbeing of people and families in Australia. The department works in partnership with other government and non-government organisations to ensure the effective development, management and delivery of these initiatives. We fund services and payments that assist families, children and older people, provide a safety net for those who cannot fully support themselves, enhance the wellbeing of people with high needs, assist those who need help with care, and support a diverse and harmonious society.",PBS_2526,195840034,operating,2025-26,PBS_2526,-35.3075,149.1244,,national,HIGH,2026-04,parent_id,active,0,COFOG-A 10,Social Protection,HIGH,"AGOR December 2025 (Dept of Finance, Australian Government Organisations Register) | Administrative Arrangements Order 13 May 2025 (portfolio assignments) | PGPA Flipchart February 2026 (legal_class and accountability verification) | Portfolio Budget Statements 2025-26 (Commonwealth)"
AU-CW-DEPT-AGRIC,Agriculture,"Department of Agriculture, Fisheries and Forestry",34 190 894 983,Federal,CW,ministry,ministerial,"Agriculture, Fisheries and Forestry",Agriculture & Resources,regulatory,Public Service Act 1999 (Cth),2020,,"The Department of Agriculture, Fisheries and Forestry works to enhance our agricultural, fisheries and forestry industries. We create new and maintain existing agricultural export opportunities, to provide gains for Australian agriculture. We manage biosecurity risks to Australia to protect our multi-billion dollar agricultural industries and our way of life.",,,,,AGOR,-35.3075,149.1244,,national,HIGH,2026-04,"budget_000s,parent_id",active,0,COFOG-A 04,Economic Affairs,HIGH,"AGOR December 2025 (Dept of Finance, Australian Government Organisations Register) | Administrative Arrangements Order 13 May 2025 (portfolio assignments) | PGPA Flipchart February 2026 (legal_class and accountability verification)"
